location,MntCode,HabZ,SamSite,latitude,longitude,date,direction,meas_num,h_category,height,distance,stem_count,genu_spp,health,fruit,structure
YTHEMP-YSH-248916-S1,AND,S,S1,60.205228,-135.132893,2022-07-22,ES,1,VLS,31,342,3,Betu gla,L,FA,E
YTHEMP-YSH-248916-S1,AND,S,S1,60.205228,-135.132893,2022-07-22,ES,1,LS,60,678,3,Betu gla,L,FA,E
YTHEMP-YSH-248916-S1,AND,S,S1,60.205228,-135.132893,2022-07-22,ES,1,MS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S1,AND,S,S1,60.205228,-135.132893,2022-07-22,ES,1,TR,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S1,AND,S,S1,60.205228,-135.132893,2022-07-22,ES,1,TS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S1,AND,S,S1,60.205228,-135.132893,2022-07-22,ES,2,VLS,33,450,1,Abie las,L,FA,E
YTHEMP-YSH-248916-S1,AND,S,S1,60.205228,-135.132893,2022-07-22,ES,2,LS,59,732,5,Betu gla,L,FA,E
YTHEMP-YSH-248916-S1,AND,S,S1,60.205228,-135.132893,2022-07-22,ES,2,MS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S1,AND,S,S1,60.205228,-135.132893,2022-07-22,ES,2,TR,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S1,AND,S,S1,60.205228,-135.132893,2022-07-22,ES,2,TS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S1,AND,S,S1,60.205228,-135.132893,2022-07-22,NE,1,VLS,21,203,80,Cass tet,L,FA,M
YTHEMP-YSH-248916-S1,AND,S,S1,60.205228,-135.132893,2022-07-22,NE,1,LS,51,334,4,Betu gla,L,FA,E
YTHEMP-YSH-248916-S1,AND,S,S1,60.205228,-135.132893,2022-07-22,NE,1,MS,155,526,5,Betu gla,L,FA,E
YTHEMP-YSH-248916-S1,AND,S,S1,60.205228,-135.132893,2022-07-22,NE,1,TR,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S1,AND,S,S1,60.205228,-135.132893,2022-07-22,NE,1,TS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S1,AND,S,S1,60.205228,-135.132893,2022-07-22,NE,2,VLS,18,228,3,Betu gla,L,FA,E
YTHEMP-YSH-248916-S1,AND,S,S1,60.205228,-135.132893,2022-07-22,NE,2,LS,87,623,3,Betu gla,L,FA,E
YTHEMP-YSH-248916-S1,AND,S,S1,60.205228,-135.132893,2022-07-22,NE,2,MS,110,937,2,Abie las,L,FA,E
