Project_code,Common_name,Scientific_name
Abie las,Subalpine Fir,Abies lasiocarpa
Alnu spp,Alder species,Alnus spp
Arct uva,Bearberry; Kinnikinnick,Arctostaphylos uva-ursi
Betu gla,Scrub Birch; Dwarf Birch,Betula glandulosa
Cass tet,Arctic White Heather,Cassiope tetragona
Dasi fru,Shrubby Cinquefoil,Dasiphora fruticosa
Empe nig,Crowberry; Mossberry,Empetrum nigrum
Juni com,Common Juniper,Juniperus communis
Ledu gro,Labrador Tea,Ledum groenlandicum; Rhododendron groelandicum
Phyl spp,Mountain Heathers,Phyllodoce spp
Pice gla,White Spruce,Picea glauca
Pinu con,Lodgepole Pine,Pinus contorta
Popu bal,Balsam Poplar,Populus balsamifera
Popu tre,Trembling Aspen,Populus tremuloides
Rosa aci,Prickly Wild Rose,Rosa acicularis
Rubu pub,Dwarf Raspberry,Rubus pubescens
Sali spp,Willow species,Salix spp
Shep can,Soapberry ,Shepherdia canadensis
Vacc uli,Bog Blueberry,Vaccinium uliginosum
Vacc vit,Low-bush Cranberry; Lingonberry,Vaccinium vitis-idaea
